Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910   82.9   98.5   26.8   63.5   64.2   64.6   79.8  100.8   15.7   86.7  109.9  124.6     ---  154.5  245.1  212.2   917.8
1911   38.4   57.6   55.8   44.0   36.6   73.0   13.2   50.3   56.2   83.2  104.0  160.1   220.7  136.4  136.6  243.5   772.7
1912   99.8   57.3  108.6    7.8   55.8  116.2   90.7  170.5   49.5   90.5   69.1  102.0   317.2  172.1  377.4  209.2  1017.7
1913  110.5   32.1   98.1   89.4   61.9   34.6   32.5   39.4   59.3   95.6   82.8   49.2   244.5  249.4  106.5  237.7   785.4
1914   43.0   76.7  105.3   30.5   42.7   55.3   89.4   55.7   43.6   61.6  102.9  179.0   169.0  178.4  200.4  208.1   885.6
1915   97.1  116.6   34.6   33.3   61.2   30.4  119.9   73.1   39.4   66.4   67.3  168.4   392.7  129.1  223.4  173.1   907.7
1916   49.4  121.2   99.3   42.1   64.4   61.4   50.2   88.3   48.5  122.5  106.7   88.2   339.0  205.7  199.8  277.7   942.0
1917   58.3   27.7   62.4   52.1   56.3   63.8   62.2  156.8   50.2  118.1   52.9   40.7   174.1  170.8  282.8  221.2   801.5
1918   82.9   56.2   33.5   55.9   53.3   28.1  105.5   58.1  169.3   62.6   60.8  105.6   179.8  142.7  191.7  292.7   871.8
1919  110.9   68.0  108.7   59.5   25.2   31.7   60.5   74.9   47.6   62.7   68.4  129.6   284.5  193.4  167.1  178.7   847.7
1920   98.8   40.5   75.3  107.1   67.6   55.9  123.0   43.0   60.1   59.8   39.9   83.6   268.9  250.0  221.9  159.7   854.5
1921   96.6    8.5   51.7   31.2   45.3   10.3   24.9   87.2   34.9   46.4   59.7   70.4   188.7  128.1  122.3  141.0   567.0
1922   99.4   82.1   62.0   74.6   31.3   37.7  113.0   94.0   74.4   31.8   43.7  108.3   251.9  167.8  244.7  149.9   852.2
1923   54.3  134.8   47.1   63.1   62.6   18.5   71.2   87.2   75.2  122.3   81.9   89.6   297.3  172.8  176.9  279.4   907.7
1924   82.2   24.3   32.9   67.8  117.6   58.9  101.5   85.4   98.6  119.3   68.3  108.4   196.1  218.3  245.8  286.2   965.1
